ACAD, Arts, Technology and the Business of Innovation
ACCT, Accounting
PLUS, Project Management
PM, Urban and Regional Planning
PMEP, Preventive Medicine
POIR, Pharmaceutical Economics and Policy
PORT, Political Science and International Relations
POSC, Portuguese
PPD, Political Science
PPDE, Policy, Planning, and Development
PR, Policy, Planning, and Development — Expanded
PSCI, Public Relations
PSYC, Pharmaceutical Sciences
PT, Psychology
PTE, Physical Therapy
PTHL, Petroleum Engineering
PUAD, Public Administration
PUBD, Public Diplomacy
QBIO, Quantitative Biology
RED, Real Estate Development
REL, Religion
REST, Restorative Dentistry
RPRO, Removable Prosthodontics
RSCI, Regulatory Science
RXRS, Pharmaceutical and Regulatory Science
SAE, Systems Architecting and Engineering
SCOR, Screen Scoring
SCRM, Stem Cell Biology and Regenerative Medicine
SLL, Slavic Languages and Literatures
SOCI, Sociology
SOWK, Social Work
SPAN, Spanish
SSCI, Spatial Sciences Institute
SSEM, Sophomore Seminars
SURG, Oral Surgery
SWMS, Gender Studies
THTR, Dramatic Arts
TRGN, Translational Genomics
USC, University of Southern California
VISS, Visual Studies
WRIT, Writing Program
